,Epoch,Client_id,Class_id,Label_num,Test_acc,Test_loss
0,0,0,3,28,0.0,0.14823459088802338
1,0,0,2,42,0.0,0.13593056797981262
2,0,0,9,51,0.0,0.08943991363048553
3,0,0,6,34,0.0,0.1188073605298996
4,0,0,1,9,0.0,0.4326302707195282
5,0,0,0,8,0.125,0.3826485276222229
6,0,0,5,41,0.0,0.13161134719848633
7,0,0,8,9,0.0,0.40257856249809265
8,0,0,4,8,0.0,0.5533549785614014
9,0,1,8,104,0.0,0.03522318974137306
10,0,1,6,205,0.0,0.0225007776170969
11,0,1,3,23,0.043478260869565216,0.173044353723526
12,0,1,1,13,0.07692307692307693,0.24052998423576355
13,0,1,7,3,0.0,1.8515409231185913
14,0,1,2,34,0.0,0.15875458717346191
15,0,1,4,5,0.2,0.7397084832191467
16,0,1,5,1,0.0,5.603633880615234
17,0,2,9,93,0.0,0.047966014593839645
18,0,2,0,183,0.04918032786885246,0.016941597685217857
19,0,2,6,44,0.0,0.1032470241189003
20,0,2,7,40,0.0,0.13304631412029266
21,0,2,8,23,0.043478260869565216,0.16540135443210602
22,0,2,5,40,0.0,0.1292921006679535
23,0,2,4,9,0.0,0.3674233555793762
24,0,2,1,6,0.0,0.4637835919857025
25,0,2,2,5,0.0,1.2146192789077759
26,0,2,3,14,0.0,0.2795904874801636
27,0,3,2,79,0.24050632911392406,0.01823032833635807
28,0,3,5,22,0.8636363636363636,0.023421628400683403
29,0,3,3,160,0.7125,0.006036568433046341
30,0,3,0,53,0.6415094339622641,0.02373831905424595
31,0,3,1,14,1.0,0.013139685615897179
32,0,3,4,18,0.7222222222222222,0.04995417967438698
33,0,4,9,59,0.2711864406779661,0.02927258238196373
34,0,4,4,71,0.7887323943661971,0.01068289577960968
35,0,4,0,30,0.7333333333333333,0.032999202609062195
36,0,4,8,11,0.2727272727272727,0.17835044860839844
37,0,4,6,30,0.2,0.05306996777653694
38,0,4,2,29,0.3103448275862069,0.050711892545223236
39,0,4,3,6,0.6666666666666666,0.14725656807422638
40,0,4,7,9,0.5555555555555556,0.08010735362768173
41,0,4,5,3,1.0,0.18580752611160278
42,0,5,4,75,0.8666666666666667,0.009340993128716946
43,0,5,5,30,0.9666666666666667,0.01784273236989975
44,0,5,3,11,0.7272727272727273,0.07630710303783417
45,0,5,2,105,0.3333333333333333,0.01351920422166586
46,0,5,0,18,0.7777777777777778,0.04770643264055252
47,0,5,1,94,0.776595744680851,0.006258014589548111
48,0,5,6,11,0.09090909090909091,0.15044233202934265
49,0,6,2,50,0.46,0.027705403044819832
50,0,6,4,45,0.7555555555555555,0.018439386039972305
51,0,6,1,32,0.9375,0.01012303028255701
52,0,6,0,160,0.7,0.006799971219152212
53,0,6,5,123,0.8617886178861789,0.005157845094799995
54,0,6,3,20,0.75,0.051145922392606735
55,0,7,7,67,0.835820895522388,0.010369370691478252
56,0,7,1,90,0.8333333333333334,0.005890374071896076
57,0,7,6,43,0.2558139534883721,0.04064216837286949
58,0,7,4,148,0.8243243243243243,0.004639260470867157
59,0,7,5,20,0.9,0.021988723427057266
60,0,7,0,15,0.8666666666666667,0.05997435003519058
61,0,7,2,5,0.0,0.4624728560447693
62,0,7,3,8,0.875,0.1018512174487114
63,0,8,0,38,0.6842105263157895,0.027385437861084938
64,0,8,5,131,0.8931297709923665,0.004861351568251848
65,0,8,1,196,0.9030612244897959,0.001859973301179707
66,0,8,2,11,0.36363636363636365,0.14798490703105927
67,0,8,3,8,0.5,0.17271161079406738
68,0,8,4,1,0.0,1.4531320333480835
69,0,9,9,15,0.26666666666666666,0.11685393750667572
70,0,9,3,21,0.8095238095238095,0.03305129334330559
71,0,9,6,38,0.18421052631578946,0.04626494273543358
72,0,9,8,84,0.2619047619047619,0.024191731587052345
73,0,9,4,38,0.7894736842105263,0.01933627761900425
74,0,9,2,5,0.2,0.33333879709243774
75,0,9,7,18,0.7777777777777778,0.03803703188896179
76,0,9,0,12,0.5,0.10529371351003647
77,0,9,5,13,0.8461538461538461,0.045170899480581284
78,0,9,1,2,1.0,0.04214591532945633
79,0,10,2,51,0.35294117647058826,0.027667071670293808
80,0,10,3,42,0.7857142857142857,0.020895065739750862
81,0,10,1,28,0.9642857142857143,0.0070784506388008595
82,0,10,9,30,0.26666666666666666,0.057862382382154465
83,0,10,7,40,0.7,0.0189041830599308
84,0,10,8,22,0.18181818181818182,0.09169239550828934
85,0,10,5,19,0.7894736842105263,0.032773006707429886
86,0,10,0,19,0.6842105263157895,0.05807905271649361
87,0,10,6,8,0.25,0.20069611072540283
88,0,10,4,3,0.6666666666666666,0.35295435786247253
89,0,11,9,373,0.32439678284182305,0.004704680759459734
90,0,11,8,85,0.32941176470588235,0.023110130801796913
91,0,11,5,33,0.8787878787878788,0.018504081293940544
92,0,11,1,18,0.7777777777777778,0.026227079331874847
93,0,11,6,19,0.05263157894736842,0.09216830879449844
94,0,11,0,18,0.6111111111111112,0.061647336930036545
95,0,11,4,9,0.5555555555555556,0.12381605058908463
96,0,11,7,6,1.0,0.056971367448568344
97,0,11,3,35,0.8285714285714286,0.02344910055398941
98,0,11,2,7,0.14285714285714285,0.19922995567321777
99,0,12,8,44,0.11363636363636363,0.05096897855401039
100,0,12,2,39,0.2564102564102564,0.036616794764995575
101,0,12,4,14,0.7142857142857143,0.07043100148439407
102,0,12,5,43,0.8604651162790697,0.013321004807949066
103,0,12,7,14,0.7142857142857143,0.055388350039720535
104,0,12,0,2,1.0,0.4764575958251953
105,0,12,9,8,0.125,0.24664714932441711
106,0,12,6,1,0.0,1.5988988876342773
107,0,13,6,68,0.11764705882352941,0.02702265791594982
108,0,13,1,21,0.8571428571428571,0.024753471836447716
109,0,13,7,46,0.717391304347826,0.017349926754832268
110,0,13,4,4,0.75,0.18499834835529327
111,0,13,5,52,0.9615384615384616,0.008938261307775974
112,0,13,8,28,0.32142857142857145,0.06630342453718185
113,0,13,9,12,0.4166666666666667,0.1675766557455063
114,0,13,0,7,0.8571428571428571,0.13956108689308167
115,0,13,2,13,0.6153846153846154,0.10264718532562256
116,0,14,2,25,0.2,0.061393238604068756
117,0,14,7,51,0.7450980392156863,0.014681844040751457
118,0,14,3,109,0.7981651376146789,0.008321660570800304
119,0,14,8,36,0.1388888888888889,0.06204072758555412
120,0,14,5,5,0.8,0.13866332173347473
121,0,14,1,51,0.8627450980392157,0.009874698705971241
122,0,14,9,10,0.4,0.17805536091327667
123,0,14,0,9,0.7777777777777778,0.11302082985639572
124,0,14,4,4,0.75,0.1718187928199768
125,0,14,6,1,0.0,1.5265793800354004
126,0,15,1,73,0.821917808219178,0.009339556097984314
127,0,15,0,165,0.7090909090909091,0.00653352215886116
128,0,15,3,30,0.6666666666666666,0.03078627400100231
129,0,15,2,84,0.27380952380952384,0.017611969262361526
130,0,16,5,49,0.8367346938775511,0.01327017042785883
131,0,16,4,47,0.8085106382978723,0.018522433936595917
132,0,16,3,71,0.676056338028169,0.014435140416026115
133,0,16,7,22,0.6363636363636364,0.04064997658133507
134,0,16,1,40,0.925,0.010253258980810642
135,0,16,8,39,0.2564102564102564,0.05744021385908127
136,0,16,2,52,0.3076923076923077,0.02744760364294052
137,0,16,9,49,0.2653061224489796,0.03624437749385834
138,0,16,0,13,0.5384615384615384,0.11225420981645584
139,0,16,6,12,0.08333333333333333,0.14815212786197662
140,0,17,4,56,0.8035714285714286,0.014938918873667717
141,0,17,2,128,0.3203125,0.011629587970674038
142,0,17,6,74,0.1891891891891892,0.023737506940960884
143,0,17,3,75,0.8,0.012362787500023842
144,0,17,1,5,0.8,0.0860949233174324
145,0,17,0,10,0.6,0.12733539938926697
146,0,17,5,25,0.8,0.03164922073483467
147,0,18,0,44,0.75,0.021354861557483673
148,0,18,7,97,0.6804123711340206,0.009603430517017841
149,0,18,6,75,0.21333333333333335,0.024091573432087898
150,0,18,4,72,0.8611111111111112,0.009815642610192299
151,0,18,5,62,0.9032258064516129,0.007940270006656647
152,0,18,1,11,1.0,0.021482376381754875
153,0,18,2,3,0.3333333333333333,0.41436469554901123
154,0,18,3,1,0.0,1.6854768991470337
155,0,19,4,91,0.7362637362637363,0.009232542477548122
156,0,19,0,51,0.803921568627451,0.018903274089097977
157,0,19,3,121,0.6859504132231405,0.008754012174904346
158,0,19,1,101,0.8811881188118812,0.004716089926660061
159,0,19,2,2,0.5,0.6200381517410278
160,0,20,8,91,0.18681318681318682,0.023134751245379448
161,0,20,5,124,0.8870967741935484,0.004964089021086693
162,0,20,3,18,0.6111111111111112,0.050236914306879044
163,0,20,7,52,0.8076923076923077,0.014546332880854607
164,0,20,6,31,0.0967741935483871,0.06054352596402168
165,0,20,2,15,0.4,0.11417461186647415
166,0,20,1,16,0.75,0.039271000772714615
167,0,20,0,15,0.6666666666666666,0.06588370352983475
168,0,20,4,1,0.0,1.1328645944595337
169,0,21,6,94,0.11702127659574468,0.018158864229917526
170,0,21,7,20,0.7,0.04071924835443497
171,0,21,0,33,0.5151515151515151,0.054219137877225876
172,0,21,8,7,0.0,0.3325488567352295
173,0,21,3,28,0.8571428571428571,0.02444932982325554
174,0,21,1,13,0.7692307692307693,0.04640006273984909
175,0,21,2,84,0.35714285714285715,0.017329959198832512
176,0,21,4,65,0.8769230769230769,0.010549809783697128
177,0,21,5,1,1.0,0.5108829140663147
178,0,22,5,56,0.8928571428571429,0.011310109868645668
179,0,22,1,14,0.9285714285714286,0.01690986007452011
180,0,22,0,116,0.6724137931034483,0.00961850956082344
181,0,22,9,18,0.3888888888888889,0.09271799027919769
182,0,22,6,16,0.0625,0.11257845163345337
183,0,22,7,10,0.7,0.07392420619726181
184,0,22,8,5,0.6,0.24394936859607697
185,0,22,4,2,0.5,0.32608622312545776
186,0,22,2,3,0.0,0.5178927183151245
187,0,23,1,108,0.8888888888888888,0.003644196316599846
188,0,23,3,23,0.782608695652174,0.03187891095876694
189,0,23,8,70,0.2571428571428571,0.02986667864024639
190,0,23,6,40,0.2,0.04243698716163635
191,0,23,5,96,0.8854166666666666,0.005798336584120989
192,0,23,7,16,0.75,0.05039038881659508
193,0,23,0,5,1.0,0.17032793164253235
194,0,23,4,4,0.75,0.21722379326820374
195,0,23,2,1,1.0,1.261149287223816
196,0,24,3,28,0.7857142857142857,0.03367337957024574
197,0,24,6,47,0.23404255319148937,0.034023258835077286
198,0,24,7,14,0.7142857142857143,0.05905225872993469
199,0,24,8,70,0.22857142857142856,0.029491716995835304
200,0,24,2,54,0.4074074074074074,0.024437032639980316
201,0,24,4,29,0.8620689655172413,0.02649293653666973
202,0,24,5,14,0.8571428571428571,0.03893167898058891
203,0,24,9,3,0.0,0.5396736860275269
204,0,24,0,7,0.5714285714285714,0.1753665953874588
205,0,24,1,1,0.0,2.781722068786621
206,0,25,0,49,0.7755102040816326,0.020735153928399086
207,0,25,4,46,0.782608695652174,0.017110295593738556
208,0,25,7,123,0.7235772357723578,0.0067544858902692795
209,0,25,3,35,0.8,0.024377355352044106
210,0,25,1,84,0.9166666666666666,0.0038485669065266848
211,0,25,2,22,0.4090909090909091,0.058772291988134384
212,0,25,6,3,0.0,0.7498252391815186
213,0,25,5,4,0.75,0.2360152304172516
214,0,26,8,20,0.3,0.09870271384716034
215,0,26,6,54,0.18518518518518517,0.03136499226093292
216,0,26,7,77,0.6233766233766234,0.011375986970961094
217,0,26,4,54,0.7407407407407407,0.014520474709570408
218,0,26,9,52,0.3269230769230769,0.035447560250759125
219,0,26,1,31,0.9032258064516129,0.010524923913180828
220,0,26,3,42,0.8095238095238095,0.02141874097287655
221,0,26,0,15,0.8,0.05406148359179497
222,0,26,5,14,0.7857142857142857,0.045468010008335114
223,0,26,2,1,0.0,1.3532036542892456
224,0,27,8,94,0.19148936170212766,0.022195978090167046
225,0,27,4,59,0.8135593220338984,0.014734042808413506
226,0,27,6,81,0.19753086419753085,0.022557495161890984
227,0,27,2,52,0.4230769230769231,0.026074739173054695
228,0,27,5,15,0.8,0.041677795350551605
229,0,27,0,21,0.6190476190476191,0.049884624779224396
230,0,27,3,25,0.76,0.033918242901563644
231,0,27,1,6,1.0,0.05023021623492241
232,0,27,7,14,0.5714285714285714,0.07495331019163132
233,0,28,0,18,0.7222222222222222,0.06281813979148865
234,0,28,5,24,0.75,0.027090659365057945
235,0,28,3,64,0.6875,0.014624412171542645
236,0,28,2,113,0.3893805309734513,0.012218879535794258
237,0,28,4,24,0.9166666666666666,0.023107444867491722
238,0,28,6,37,0.24324324324324326,0.0465700589120388
239,0,28,7,53,0.6792452830188679,0.017201444134116173
240,0,28,8,78,0.19230769230769232,0.025683484971523285
241,0,28,1,14,0.8571428571428571,0.03271859511733055
242,0,29,1,19,0.9473684210526315,0.012673684395849705
243,0,29,3,93,0.7956989247311828,0.009121502749621868
244,0,29,8,24,0.125,0.08696096390485764
245,0,29,6,30,0.13333333333333333,0.060652315616607666
246,0,29,4,40,0.85,0.02156105823814869
247,0,29,5,31,0.9354838709677419,0.016764989122748375
248,0,29,9,16,0.4375,0.08951688557863235
249,0,29,2,13,0.07692307692307693,0.14782099425792694
250,0,29,0,9,0.7777777777777778,0.09906308352947235
251,0,29,7,13,0.8461538461538461,0.057103872299194336
252,0,30,4,51,0.8235294117647058,0.01414862647652626
253,0,30,0,42,0.8095238095238095,0.022801365703344345
254,0,30,5,34,0.9117647058823529,0.01869390532374382
255,0,30,6,22,0.09090909090909091,0.07253272086381912
256,0,30,9,37,0.08108108108108109,0.046648669987916946
257,0,30,1,13,0.9230769230769231,0.02398660033941269
258,0,30,3,10,0.9,0.05546700209379196
259,0,30,8,24,0.375,0.08296855539083481
260,0,30,7,6,0.6666666666666666,0.1420414298772812
261,0,30,2,9,0.4444444444444444,0.136933371424675
262,0,31,0,19,0.7368421052631579,0.05963022634387016
263,0,31,3,11,1.0,0.051380518823862076
264,0,31,6,185,0.1783783783783784,0.009196028113365173
265,0,31,7,51,0.7058823529411765,0.01610971800982952
266,0,31,8,30,0.2,0.06464012712240219
267,0,31,5,2,1.0,0.1854068785905838
268,0,31,1,3,0.6666666666666666,0.2629753053188324
269,0,31,4,3,1.0,0.25168102979660034
270,0,31,9,4,0.25,0.41929808259010315
271,0,31,2,5,0.2,0.29944533109664917
272,0,32,5,61,0.9180327868852459,0.009333538822829723
273,0,32,2,15,0.4,0.08956480771303177
274,0,32,3,113,0.8141592920353983,0.007341473363339901
275,0,32,7,25,0.76,0.040890030562877655
276,0,32,1,21,0.7619047619047619,0.0407954566180706
277,0,32,4,56,0.7678571428571429,0.014323174022138119
278,0,32,0,9,0.7777777777777778,0.08254943042993546
279,0,32,6,11,0.09090909090909091,0.1613716036081314
280,0,32,9,14,0.21428571428571427,0.161165252327919
281,0,33,1,46,0.8478260869565217,0.009575985372066498
282,0,33,3,38,0.868421052631579,0.019266754388809204
283,0,33,5,19,0.8421052631578947,0.038911428302526474
284,0,33,4,16,0.75,0.06000063195824623
285,0,33,6,44,0.3181818181818182,0.03597483038902283
286,0,33,9,30,0.43333333333333335,0.051333535462617874
287,0,33,2,22,0.5454545454545454,0.05925983563065529
288,0,33,0,9,0.7777777777777778,0.09824658185243607
289,0,33,7,5,1.0,0.12771737575531006
290,0,33,8,1,0.0,2.318122148513794
291,0,34,2,45,0.28888888888888886,0.03330594301223755
292,0,34,1,45,0.9111111111111111,0.0075293732807040215
293,0,34,5,19,0.8947368421052632,0.03091314248740673
294,0,34,3,95,0.8,0.009172193706035614
295,0,34,4,74,0.8648648648648649,0.009368402883410454
296,0,34,0,49,0.5102040816326531,0.027161717414855957
297,0,34,7,25,0.8,0.029674522578716278
298,0,34,6,6,0.16666666666666666,0.3231377601623535
299,0,35,8,103,0.20388349514563106,0.02100919559597969
300,0,35,7,57,0.7543859649122807,0.014180593192577362
301,0,35,3,27,0.7037037037037037,0.03952908515930176
302,0,35,0,147,0.6462585034013606,0.007830176502466202
303,0,35,5,10,0.9,0.04379918426275253
304,0,35,1,25,0.88,0.01521750446408987
305,0,35,2,28,0.5714285714285714,0.04429304972290993
306,0,35,6,5,0.2,0.34562554955482483
307,0,35,4,2,1.0,0.49117153882980347
308,0,36,2,31,0.3225806451612903,0.04694576933979988
309,0,36,0,25,0.72,0.043152157217264175
310,0,36,8,105,0.23809523809523808,0.01897369883954525
311,0,36,4,23,0.782608695652174,0.030827675014734268
312,0,36,7,53,0.6981132075471698,0.016176430508494377
313,0,36,1,61,0.9344262295081968,0.004360086750239134
314,0,36,5,10,0.9,0.07327979803085327
315,0,36,6,26,0.2692307692307692,0.062772236764431
316,0,36,3,46,0.6304347826086957,0.02310008369386196
317,0,37,8,181,0.2541436464088398,0.011203467845916748
318,0,37,6,31,0.22580645161290322,0.05594481900334358
319,0,37,5,9,0.8888888888888888,0.05957038700580597
320,0,37,9,194,0.30412371134020616,0.00937005877494812
321,0,37,1,52,0.8846153846153846,0.007536671124398708
322,0,37,2,2,0.0,0.789059042930603
323,0,37,7,14,0.9285714285714286,0.03222743049263954
324,0,37,3,1,1.0,0.23029592633247375
325,0,37,4,1,1.0,0.7338077425956726
326,0,38,2,75,0.3333333333333333,0.018053341656923294
327,0,38,9,147,0.24489795918367346,0.01274169236421585
328,0,38,4,8,0.75,0.07379215210676193
329,0,38,0,59,0.6779661016949152,0.018920229747891426
330,0,38,8,43,0.3488372093023256,0.04407252371311188
331,0,38,7,21,0.7142857142857143,0.0367165207862854
332,0,38,1,10,1.0,0.02328626811504364
333,0,38,6,17,0.0,0.10689237713813782
334,0,38,5,3,0.6666666666666666,0.14749394357204437
335,0,38,3,21,0.7142857142857143,0.04825538024306297
336,0,39,0,43,0.7906976744186046,0.021131953224539757
337,0,39,9,61,0.2786885245901639,0.02901703678071499
338,0,39,1,39,0.9230769230769231,0.005798520985990763
339,0,39,5,55,0.8363636363636363,0.011623871512711048
340,0,39,2,41,0.43902439024390244,0.03052680753171444
341,0,39,7,85,0.7411764705882353,0.008860906586050987
342,0,39,4,34,0.8823529411764706,0.018701918423175812
343,0,39,6,10,0.0,0.17799542844295502
344,0,39,8,26,0.2692307692307692,0.07544761896133423
345,0,39,3,5,1.0,0.12510524690151215
346,0,40,4,69,0.8695652173913043,0.009637098759412766
347,0,40,6,26,0.11538461538461539,0.07304296642541885
348,0,40,8,125,0.288,0.015505471266806126
349,0,40,2,106,0.33962264150943394,0.01318901777267456
350,0,40,5,7,1.0,0.06080494448542595
351,0,40,1,21,0.9047619047619048,0.018465599045157433
352,0,40,0,24,0.6666666666666666,0.041459690779447556
353,0,40,7,10,0.7,0.08111326396465302
354,0,40,3,1,1.0,0.6338284015655518
355,0,41,4,173,0.838150289017341,0.004378101322799921
356,0,41,6,49,0.22448979591836735,0.03370461240410805
357,0,41,7,30,0.6333333333333333,0.03809652850031853
358,0,41,3,9,0.8888888888888888,0.07099460065364838
359,0,41,0,32,0.625,0.03755921870470047
360,0,41,5,24,0.9166666666666666,0.025949908420443535
361,0,41,2,26,0.3076923076923077,0.05577180162072182
362,0,41,1,7,0.7142857142857143,0.09265273064374924
363,0,42,6,72,0.16666666666666666,0.02476371079683304
364,0,42,2,13,0.46153846153846156,0.09007198363542557
365,0,42,9,68,0.35294117647058826,0.026585452258586884
366,0,42,0,19,0.7368421052631579,0.05451962351799011
367,0,42,7,58,0.7241379310344828,0.01307343877851963
368,0,42,5,29,0.9310344827586207,0.020571865141391754
369,0,42,3,78,0.7692307692307693,0.011056547984480858
370,0,42,4,28,0.6785714285714286,0.031639475375413895
371,0,42,8,15,0.3333333333333333,0.11685309559106827
372,0,42,1,4,1.0,0.1591566801071167
373,0,43,4,48,0.7916666666666666,0.01583876833319664
374,0,43,5,59,0.7966101694915254,0.009979412890970707
375,0,43,6,47,0.1702127659574468,0.03580346703529358
376,0,43,1,43,0.8837209302325582,0.009431017562747002
377,0,43,9,17,0.35294117647058826,0.09741879254579544
378,0,43,3,27,0.8148148148148148,0.029765067622065544
379,0,43,7,30,0.7,0.027087168768048286
380,0,43,2,13,0.3076923076923077,0.10890540480613708
381,0,43,0,6,0.5,0.26191720366477966
382,0,43,8,1,0.0,3.095247268676758
383,0,44,2,56,0.32142857142857145,0.027655720710754395
384,0,44,6,154,0.14935064935064934,0.010996704921126366
385,0,44,1,43,0.813953488372093,0.015549653209745884
386,0,44,3,74,0.7702702702702703,0.011958935298025608
387,0,44,5,10,1.0,0.03797855228185654
