Epoch,Client,Accuracy,Number
0,0,0.33507853403141363,764
0,1,0.7122969837587007,1293
0,2,0.5647600262984879,1521
0,3,0.94275802254987,1153
0,4,0.7503030303030302,825
0,5,0.9066317626527051,1146
0,6,0.7164804469273743,1432
0,7,0.8112206216830933,1319
0,8,0.6671862821512081,1283
0,9,0.6638141809290954,818
0,10,0.6915137614678899,872
0,11,0.3809760956175299,2008
0,12,0.5100182149362478,549
0,13,0.592814371257485,835
0,14,0.7662337662337663,1001
0,15,0.9974380871050385,1171
0,16,0.6453089244851259,1311
0,17,0.9363416599516519,1241
0,18,0.642504118616145,1214
0,19,0.9991803278688525,1220
0,20,0.43837882547559964,1209
0,21,0.9390243902439024,1148
0,22,0.6386449184441656,797
0,23,0.6097763048881525,1207
0,24,0.7609921082299888,887
0,25,0.7848932676518884,1218
0,26,0.6538782318598833,1199
0,27,0.776595744680851,1222
0,28,0.7347949080622348,1414
0,29,0.7643378519290928,959
0,30,0.673939393939394,825
0,31,0.8069164265129684,1041
0,32,0.7356746765249538,1082
0,33,0.8049738219895288,764
0,34,0.8876781223805532,1193
0,35,0.7427509293680298,1345
0,36,0.7109004739336493,1266
0,37,0.43034055727554177,1615
0,38,0.5799256505576208,1345
0,39,0.5605718585402558,1329
0,40,0.783011583011583,1295
0,41,0.878969957081545,1165
0,42,0.6677091477716967,1279
0,43,0.6769865841073271,969
0,44,0.970566037735849,1325
0,45,0.8199404761904762,672
0,46,0.6317934782608695,1472
0,47,0.4885343968095713,1003
0,48,0.7631578947368421,1216
0,49,0.4848790322580645,992
1,0,0.3782722513089005,764
1,1,0.7672080433101315,1293
1,2,0.7080867850098619,1521
1,3,0.9358196010407632,1153
1,4,0.6751515151515152,825
1,5,0.8996509598603839,1146
1,6,0.7136871508379888,1432
1,7,0.7634571645185747,1319
1,8,0.6656274356975838,1283
1,9,0.5709046454767727,818
1,10,0.6077981651376146,872
1,11,0.24352589641434264,2008
1,12,0.4134790528233151,549
1,13,0.5209580838323353,835
1,14,0.6913086913086913,1001
1,15,0.9906063193851409,1171
1,16,0.5919145690312738,1311
1,17,0.9234488315874295,1241
1,18,0.570840197693575,1214
1,19,0.9926229508196721,1220
1,20,0.3416046319272126,1209
1,21,0.9067944250871081,1148
1,22,0.6085319949811794,797
1,23,0.5575807787903894,1207
1,24,0.7012401352874859,887
1,25,0.7134646962233169,1218
1,26,0.5679733110925771,1199
1,27,0.7274959083469722,1222
1,28,0.6640735502121641,1414
1,29,0.7247132429614181,959
1,30,0.6133333333333333,825
1,31,0.7463976945244957,1041
1,32,0.7070240295748613,1082
1,33,0.7670157068062827,764
1,34,0.86756077116513,1193
1,35,0.6572490706319702,1345
1,36,0.6232227488151659,1266
1,37,0.2761609907120743,1615
1,38,0.49070631970260226,1345
1,39,0.4710308502633559,1329
1,40,0.7034749034749035,1295
1,41,0.8497854077253219,1165
1,42,0.5809225957779516,1279
1,43,0.6470588235294118,969
1,44,0.9637735849056603,1325
1,45,0.7678571428571429,672
1,46,0.5258152173913043,1472
1,47,0.34496510468594216,1003
1,48,0.7080592105263158,1216
1,49,0.36794354838709675,992
2,0,0.4306282722513089,764
2,1,0.814385150812065,1293
2,2,0.7363576594345825,1521
2,3,0.9124024284475282,1153
2,4,0.6278787878787879,825
2,5,0.8542757417102966,1146
2,6,0.6906424581005587,1432
2,7,0.6808188021228203,1319
2,8,0.6632891660171473,1283
2,9,0.5134474327628362,818
2,10,0.5745412844036697,872
2,11,0.22310756972111553,2008
2,12,0.3570127504553734,549
2,13,0.4754491017964072,835
2,14,0.6553446553446554,1001
2,15,0.9701110162254484,1171
2,16,0.551487414187643,1311
2,17,0.8823529411764706,1241
2,18,0.5115321252059308,1214
2,19,0.9622950819672131,1220
2,20,0.3076923076923077,1209
2,21,0.8493031358885017,1148
2,22,0.5972396486825596,797
2,23,0.5484672742336372,1207
2,24,0.6561443066516347,887
2,25,0.6559934318555009,1218
2,26,0.5170975813177648,1199
2,27,0.6751227495908347,1222
2,28,0.6166902404526167,1414
2,29,0.6913451511991658,959
2,30,0.5781818181818181,825
2,31,0.7185398655139289,1041
2,32,0.6700554528650647,1082
2,33,0.7329842931937173,764
2,34,0.8214585079631181,1193
2,35,0.6260223048327137,1345
2,36,0.5876777251184834,1266
2,37,0.2625386996904025,1615
2,38,0.462453531598513,1345
2,39,0.4115876598946576,1329
2,40,0.6517374517374518,1295
2,41,0.7630901287553649,1165
2,42,0.5535574667709148,1279
2,43,0.6047471620227038,969
2,44,0.9471698113207547,1325
2,45,0.7366071428571429,672
2,46,0.45040760869565216,1472
2,47,0.2901296111665005,1003
2,48,0.6875,1216
2,49,0.32963709677419356,992
3,0,0.412303664921466,764
3,1,0.8012374323279196,1293
3,2,0.7284681130834977,1521
3,3,0.9254119687771032,1153
3,4,0.6533333333333333,825
3,5,0.8743455497382199,1146
3,6,0.702513966480447,1432
3,7,0.7156937073540561,1319
3,8,0.6656274356975838,1283
3,9,0.5342298288508558,818
3,10,0.5894495412844036,872
3,11,0.2295816733067729,2008
3,12,0.3770491803278688,549
3,13,0.4946107784431138,835
3,14,0.6633366633366633,1001
3,15,0.9803586678052946,1171
3,16,0.5682684973302822,1311
3,17,0.9016921837228042,1241
3,18,0.5321252059308073,1214
3,19,0.9778688524590164,1220
3,20,0.3159636062861869,1209
3,21,0.8754355400696864,1148
3,22,0.5997490589711418,797
3,23,0.551781275890638,1207
