Epoch,Client_id,Class_id,Label_num,Test_acc,Test_loss,Comsume_time
0,0,2,42,0.6428571428571429,0.021853873506188393,0.8380048274993896
0,0,3,28,0.2857142857142857,0.06245974451303482,0.8380048274993896
0,0,4,8,0.0,0.3180274963378906,0.8380048274993896
0,0,6,34,0.8823529411764706,0.01349411066621542,0.8380048274993896
0,0,5,41,0.7560975609756098,0.0283932127058506,0.8380048274993896
0,0,9,51,0.27450980392156865,0.044934820383787155,0.8380048274993896
0,0,8,9,1.0,0.043348394334316254,0.8380048274993896
0,0,0,8,0.125,0.30417945981025696,0.8380048274993896
0,0,1,9,0.7777777777777778,0.12130975723266602,0.8380048274993896
0,1,8,104,0.9134615384615384,0.005395519081503153,0.8380048274993896
0,1,6,205,0.8829268292682927,0.0016870790859684348,0.8380048274993896
0,1,2,34,0.7352941176470589,0.02572566643357277,0.8380048274993896
0,1,3,23,0.5652173913043478,0.06574909389019012,0.8380048274993896
0,1,4,5,0.0,0.560142457485199,0.8380048274993896
0,1,7,3,0.0,0.9491968750953674,0.8380048274993896
0,1,1,13,0.38461538461538464,0.1034858375787735,0.8380048274993896
0,1,5,1,0.0,2.249142646789551,0.8380048274993896
0,2,0,183,0.10382513661202186,0.013437307439744473,0.8380048274993896
0,2,6,44,0.8636363636363636,0.009935936890542507,0.8380048274993896
0,2,9,93,0.1935483870967742,0.0222043264657259,0.8380048274993896
0,2,3,14,0.42857142857142855,0.10808105021715164,0.8380048274993896
0,2,8,23,1.0,0.020374594256281853,0.8380048274993896
0,2,7,40,0.0,0.06717895716428757,0.8380048274993896
0,2,5,40,0.525,0.03579908236861229,0.8380048274993896
0,2,2,5,0.4,0.16701380908489227,0.8380048274993896
0,2,1,6,1.0,0.11988822370767593,0.8380048274993896
0,2,4,9,0.0,0.3273391127586365,0.8380048274993896
0,3,3,160,0.6,0.007352654822170734,0.8380048274993896
0,3,0,53,0.018867924528301886,0.06455317884683609,0.8380048274993896
0,3,2,79,0.21518987341772153,0.02695295214653015,0.8380048274993896
0,3,5,22,0.0,0.3041301965713501,0.8380048274993896
0,3,4,18,0.16666666666666666,0.11095935851335526,0.8380048274993896
0,3,1,14,0.42857142857142855,0.08327417075634003,0.8380048274993896
0,4,8,11,0.45454545454545453,0.15551485121250153,0.8380048274993896
0,4,3,6,0.3333333333333333,0.25627610087394714,0.8380048274993896
0,4,2,29,0.1724137931034483,0.08378821611404419,0.8380048274993896
0,4,4,71,0.1267605633802817,0.028329016640782356,0.8380048274993896
0,4,9,59,0.1016949152542373,0.03790739178657532,0.8380048274993896
0,4,6,30,0.06666666666666667,0.11049885302782059,0.8380048274993896
0,4,0,30,0.0,0.11538594216108322,0.8380048274993896
0,4,7,9,0.0,0.421495646238327,0.8380048274993896
0,4,5,3,0.0,2.1071083545684814,0.8380048274993896
0,5,2,105,0.21904761904761905,0.019840441644191742,0.8380048274993896
0,5,1,94,0.2765957446808511,0.016743876039981842,0.8380048274993896
0,5,5,30,0.0,0.22600027918815613,0.8380048274993896
0,5,4,75,0.12,0.025027034804224968,0.8380048274993896
0,5,0,18,0.0,0.24303804337978363,0.8380048274993896
0,5,6,11,0.09090909090909091,0.3021491467952728,0.8380048274993896
0,5,3,11,0.36363636363636365,0.1230413168668747,0.8380048274993896
0,6,5,123,0.0,0.058315303176641464,0.8380048274993896
0,6,2,50,0.26,0.04340340942144394,0.8380048274993896
0,6,3,20,0.65,0.05181296914815903,0.8380048274993896
