,Epoch,Client_id,Class_id,Label_num,Test_acc,Test_loss,Comsume_time
0,0,0,9,51,0.0,0.1769477128982544,124.43987560272217
1,0,0,3,28,0.0,0.23615583777427673,124.43987560272217
2,0,0,1,9,0.0,0.9322085976600647,124.43987560272217
3,0,0,0,8,0.0,0.8386191725730896,124.43987560272217
4,0,0,5,41,0.0,0.19949376583099365,124.43987560272217
5,0,0,6,34,0.029411764705882353,0.20039202272891998,124.43987560272217
6,0,0,2,42,0.0,0.21518486738204956,124.43987560272217
7,0,0,4,8,0.0,0.8453171849250793,124.43987560272217
8,0,0,8,9,0.0,0.9180510640144348,124.43987560272217
9,0,1,6,205,0.0,0.03591586649417877,124.43987560272217
10,0,1,8,104,0.0,0.0741235762834549,124.43987560272217
11,0,1,2,34,0.0,0.2661302387714386,124.43987560272217
12,0,1,3,23,0.0,0.2680540978908539,124.43987560272217
13,0,1,1,13,0.0,0.5195520520210266,124.43987560272217
14,0,1,7,3,0.0,2.9089696407318115,124.43987560272217
15,0,1,4,5,0.0,1.3201773166656494,124.43987560272217
16,0,1,5,1,0.0,8.191169738769531,124.43987560272217
17,0,2,6,44,0.0,0.16054201126098633,124.43987560272217
18,0,2,0,183,0.0,0.04271211847662926,124.43987560272217
19,0,2,7,40,0.0,0.23898398876190186,124.43987560272217
20,0,2,9,93,0.0,0.09674275666475296,124.43987560272217
21,0,2,8,23,0.043478260869565216,0.3247442841529846,124.43987560272217
22,0,2,5,40,0.0,0.20043185353279114,124.43987560272217
23,0,2,1,6,0.0,1.1111397743225098,124.43987560272217
24,0,2,4,9,0.0,0.6327636241912842,124.43987560272217
25,0,2,2,5,0.0,1.8983871936798096,124.43987560272217
26,0,2,3,14,0.07142857142857142,0.39725789427757263,124.43987560272217
27,0,3,3,160,0.85625,0.003183424938470125,124.43987560272217
28,0,3,2,79,0.7468354430379747,0.0088125541806221,124.43987560272217
29,0,3,1,14,1.0,0.0002626078494358808,124.43987560272217
30,0,3,0,53,0.6981132075471698,0.0169511865824461,124.43987560272217
31,0,3,4,18,0.6666666666666666,0.056185442954301834,124.43987560272217
32,0,3,5,22,1.0,0.0021363322157412767,124.43987560272217
33,0,4,4,71,0.7746478873239436,0.010571273043751717,124.43987560272217
34,0,4,0,30,0.8,0.01678393967449665,124.43987560272217
35,0,4,2,29,0.5517241379310345,0.045966193079948425,124.43987560272217
36,0,4,6,30,0.5333333333333333,0.035346146672964096,124.43987560272217
37,0,4,7,9,1.0,0.010148081928491592,124.43987560272217
38,0,4,9,59,0.9491525423728814,0.004843850154429674,124.43987560272217
39,0,4,8,11,0.9090909090909091,0.059167973697185516,124.43987560272217
40,0,4,5,3,1.0,0.03344906121492386,124.43987560272217
41,0,4,3,6,0.8333333333333334,0.07403303682804108,124.43987560272217
42,0,5,0,18,0.8333333333333334,0.02273561619222164,124.43987560272217
43,0,5,2,105,0.6857142857142857,0.006424591410905123,124.43987560272217
44,0,5,4,75,0.8133333333333334,0.006868298165500164,124.43987560272217
45,0,5,1,94,0.9468085106382979,0.0017446939600631595,124.43987560272217
46,0,5,6,11,0.45454545454545453,0.09511560201644897,124.43987560272217
47,0,5,5,30,0.9,0.008029893040657043,124.43987560272217
48,0,5,3,11,0.8181818181818182,0.06450539827346802,124.43987560272217
49,0,6,5,123,0.8943089430894309,0.0018359925597906113,124.43987560272217
50,0,6,0,160,0.85,0.0031987198162823915,124.43987560272217
51,0,6,2,50,0.64,0.01949034258723259,124.43987560272217
52,0,6,3,20,0.9,0.020704297348856926,124.43987560272217
